Sat Nov 30 13:49:01 2024    profile_output.prof

         173992666 function calls (171435864 primitive calls) in 60.404 seconds

   Ordered by: cumulative time
   List reduced from 1534 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15772    0.080    0.000    4.144    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client_reqrep.py:1263(json)
   101634    0.070    0.000    4.086    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:715(_process_outgoing)
    29302    0.045    0.000    3.873    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:557(copy)
41193743/41019255    2.669    0.000    3.831    0.000 {built-in method builtins.isinstance}
    14235    0.010    0.000    3.798    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/__init__.py:299(loads)
    14235    3.754    0.000    3.754    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/decoder.py:350(raw_decode)
    14235    0.018    0.000    3.739    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/decoder.py:339(decode)
    86304    0.103    0.000    3.623    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/series.py:6110(_cmp_method)
    56400    0.204    0.000    3.569    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1347(insert)
    53318    0.053    0.000    3.521    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/selector_events.py:1047(write)
11239/11211    0.024    0.000    3.453    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
   448574    0.979    0.000    3.383    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/construction.py:517(sanitize_array)
26030/23060    0.007    0.000    3.256    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client.py:1390(__aexit__)
26031/23060    0.047    0.000    3.237    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client.py:1255(close)
  4090524    1.117    0.000    3.090    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/bs4/element.py:2303(search)
    30798    0.067    0.000    2.969    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/generic.py:4027(take)
    27006    2.777    0.000    2.778    0.000 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    30798    0.038    0.000    2.686    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:869(take)
    25158    0.030    0.000    2.648    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/generic.py:4142(_take_with_is_copy)
11239/11211    0.087    0.000    2.632    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2121(create_block_manager_from_column_arrays)
    65620    0.077    0.000    2.497    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/series.py:6123(_logical_method)
    47076    0.043    0.000    2.463    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:724(_do_read)
    59980    0.017    0.000    2.318    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/arraylike.py:68(__and__)
    56400    0.174    0.000    2.285    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:6956(insert)
    17104    0.033    0.000    2.270    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:4130(_getitem_bool_array)
53326/49087    0.056    0.000    2.175    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/connector.py:516(connect)
52110/47926    0.018    0.000    2.052    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/connector.py:1040(_create_connection)
    30798    0.093    0.000    2.033    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
